#{"t_start": 1596175826.1036322, "env_id": null}
r,l,t
-20858.03048,536,233.181175
-1264.925043,63,265.556092
-688.745991,52,294.436837
-26343.657585,348,451.864694
46.733242,26,472.830585
-5137.51469,321,598.242496
-244.261865,32,618.947642
-3117.791022,170,701.734153
-120.833129,30,736.555847
300,1,757.265629
-372.072826,41,781.593785
69.005448,23,797.763416
30.722269,29,815.743337
-2113.623457,96,861.115548
-81.717225,29,882.356358
-31731.402545,693,1155.001936
-1344.099391,78,1197.475807
-390.747987,56,1228.68488
48.424454,21,1244.801786
-2083.64458,229,1347.929333
51.255258,23,1366.17792
156.691671,15,1382.594588
-20.676141,34,1416.614636
-1178.995169,48,1462.902326
-1174.172015,50,1498.716779
-1756.407697,344,1634.897382
300,1,1641.529256
-139.902834,23,1675.829679
-48.268165,55,1702.298084
134.933649,16,1731.505741
95.695792,19,1748.983475
-424.921344,66,1782.601285
-787.880568,159,1853.713397
10.89104,33,1876.142774
-248.382637,42,1903.888564
100.888406,19,1921.118223
-1082.531037,48,1953.803154
-459.591859,30,1979.857236
-787.571734,71,2018.021069
-881.8003,41,2046.726774
-146.269717,23,2079.073782
-867.054602,43,2107.402006
107.504352,15,2123.067193
-1031.04895,115,2178.50337
-464.976918,35,2204.061241
-349.083148,52,2246.81772
-86.473842,28,2270.79455
-624.478946,57,2305.497378
-253.379232,59,2350.517843
-304.872217,51,2394.165494
48.304815,27,2413.015383
-139.838422,28,2449.037726
-121.033445,23,2469.021074
-749.708424,42,2498.585654
-152.577071,29,2518.443091
-555.92847,53,2548.334085
144.574871,26,2565.521343
95.710154,17,2582.647832
-477.916949,40,2606.701935
-605.540026,54,2653.323006
-2718.292769,562,2863.85506
-380.811301,32,2888.141447
-555.144245,36,2911.424038
83.428458,19,2941.590145
-486.272947,37,2968.083303
-206.743299,29,2989.311598
-528.20889,38,3013.929693
-90.012817,45,3037.683938
-157.196249,28,3059.25988
300,1,3066.36265
300,1,3087.048523
-127.593578,27,3109.181065
-258.953888,29,3130.670824
11.028329,24,3149.544183
48.52797,23,3167.635889
-11.653458,33,3190.813584
-599.643072,39,3233.654804
-451.010216,37,3260.889712
123.881123,20,3278.464817
251.331506,8,3289.329921
67.704094,16,3306.016251
-145.432226,35,3344.344755
-588.687795,39,3385.433547
300,1,3392.604441
235.232661,12,3405.694145
-173.414338,27,3429.067235
-161.835559,28,3451.9178
106.783727,19,3468.404902
-464.681743,52,3499.470443
60.658647,18,3514.912668
-139.111427,35,3540.161408
-370.749966,32,3577.469237
-883.116604,63,3624.970642
300,1,3628.82223
-1166.262337,62,3668.235704
300,1,3674.598122
221.950451,12,3686.32468
125.834859,29,3705.360873
90.388219,17,3721.314889
-327.447251,37,3746.679749
111.129098,20,3775.960233
57.290159,18,3793.071454
-289.952454,33,3816.334949
-556.03489,43,3842.331436
125.467026,17,3859.650514
-1377.350644,56,3895.339201
-592.422021,41,3922.990373
-20.647821,24,3941.496744
-414.692885,31,3959.245196
-510.984764,34,3996.525647
-428.323476,37,4022.992602
91.510737,16,4040.379324
-623.970919,42,4066.695319
-399.476958,34,4091.462782
-107.171513,21,4111.094206
-73.590433,25,4131.217439
-377.627234,33,4153.531747
-567.322815,41,4193.767226
229.137321,9,4205.278817
134.746746,15,4222.527504
138.131002,14,4238.515783
-237.066317,30,4262.001648
244.696036,9,4287.408345
-830.004376,48,4319.391942
-527.193757,39,4344.461754
300,1,4351.874325
-570.757811,39,4393.81513
-134.769899,24,4426.742168
-393.767798,35,4466.318339
-542.438599,34,4492.561471
-330.317808,39,4518.045407
-176.313381,28,4538.881089
-217.372189,32,4560.957946
261.895553,7,4572.600472
242.853084,11,4585.608687
89.755823,19,4602.217045
-1082.799321,50,4633.120476
-1047.193929,47,4665.997339
-552.810806,36,4693.395757
-148.592343,27,4715.307659
-43.513635,23,4736.623767
-192.10831,32,4757.868432
255.335305,7,4770.35607
52.049829,21,4787.424901
-910.449365,40,4818.667886
-125.081204,24,4839.624617
-791.266324,43,4868.087048
-363.073289,33,4906.497785
121.124805,18,4935.949281
115.003441,17,4951.214321
-158.877321,28,4971.686853
-266.620378,30,4995.14582
-271.191234,31,5017.486187
